,datetime,river_discharge
0,2009-01-01,2909.72
1,2009-01-02,2909.72
2,2009-01-03,2923.15
3,2009-01-04,2916.43
4,2009-01-05,2863.18
5,2009-01-06,2785.12
6,2009-01-07,2696.74
7,2009-01-08,2587.21
8,2009-01-09,2482.13
9,2009-01-10,2381.32
10,2009-01-11,2289.87
11,2009-01-12,2196.86
12,2009-01-13,2107.63
13,2009-01-14,2026.68
14,2009-01-15,1962.36
15,2009-01-16,1908.85
16,2009-01-17,1865.38
17,2009-01-18,1822.9
18,2009-01-19,1781.38
19,2009-01-20,1744.82
20,2009-01-21,1709.02
21,2009-01-22,1673.94
22,2009-01-23,1639.59
23,2009-01-24,1613.36
24,2009-01-25,1587.55
25,2009-01-26,1554.97
26,2009-01-27,1523.05
27,2009-01-28,1484.94
28,2009-01-29,1444.44
29,2009-01-30,1408.29
30,2009-01-31,1376.21
31,2009-02-01,1354.19
32,2009-02-02,1338.68
33,2009-02-03,1323.34
34,2009-02-04,1314.22
35,2009-02-05,1311.2
36,2009-02-06,1311.2
37,2009-02-07,1308.18
38,2009-02-08,1302.17
39,2009-02-09,1290.22
40,2009-02-10,1281.33
41,2009-02-11,1269.57
42,2009-02-12,1263.74
43,2009-02-13,1260.83
44,2009-02-14,1269.57
45,2009-02-15,1278.38
46,2009-02-16,1278.38
47,2009-02-17,1278.38
48,2009-02-18,1284.29
49,2009-02-19,1290.22
50,2009-02-20,1290.22
51,2009-02-21,1290.22
52,2009-02-22,1290.22
53,2009-02-23,1287.25
54,2009-02-24,1284.29
55,2009-02-25,1284.29
56,2009-02-26,1290.22
57,2009-02-27,1302.17
58,2009-02-28,1311.2
59,2009-03-01,1311.2
60,2009-03-02,1308.18
61,2009-03-03,1299.17
62,2009-03-04,1281.33
63,2009-03-05,1249.26
64,2009-03-06,1206.81
65,2009-03-07,1160.45
66,2009-03-08,1115.86
67,2009-03-09,1077.95
68,2009-03-10,1053.39
69,2009-03-11,1043.72
70,2009-03-12,1041.32
71,2009-03-13,1041.32
72,2009-03-14,1038.92
73,2009-03-15,1031.76
74,2009-03-16,1017.59
75,2009-03-17,996.7
76,2009-03-18,971.75
77,2009-03-19,947.42
78,2009-03-20,919.45
79,2009-03-21,896.43
80,2009-03-22,878.02
81,2009-03-23,856.04
82,2009-03-24,826.94
83,2009-03-25,793.33
84,2009-03-26,766.36
85,2009-03-27,743.73
86,2009-03-28,725.11
87,2009-03-29,715.14
88,2009-03-30,708.58
89,2009-03-31,698.84
90,2009-04-01,692.43
91,2009-04-02,686.07
92,2009-04-03,681.34
93,2009-04-04,679.77
94,2009-04-05,687.65
95,2009-04-06,703.69
96,2009-04-07,726.78
97,2009-04-08,757.58
98,2009-04-09,798.83
99,2009-04-10,852.1
100,2009-04-11,908.91
101,2009-04-12,969.51
102,2009-04-13,1029.39
103,2009-04-14,1077.95
104,2009-04-15,1115.86
105,2009-04-16,1147.15
106,2009-04-17,1176.61
107,2009-04-18,1209.6
108,2009-04-19,1252.14
109,2009-04-20,1299.17
110,2009-04-21,1354.19
111,2009-04-22,1424.61
112,2009-04-23,1491.79
113,2009-04-24,1540.7
114,2009-04-25,1572.98
115,2009-04-26,1613.36
116,2009-04-27,1666.25
117,2009-04-28,1716.91
118,2009-04-29,1740.81
119,2009-04-30,1748.85
120,2009-05-01,1748.85
